season,episode,scene,speaker1,speaker2,speaker_pair,num_speaker_pairs,interaction_factor
1,2,3,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,21,0.047619047619047616
1,2,3,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,21,0.047619047619047616
1,2,3,Monica Geller,#ALL#,Monica Geller-#ALL#,21,0.047619047619047616
1,2,3,Rachel Green,Monica Geller,Rachel Green-Monica Geller,21,0.047619047619047616
1,2,3,Monica Geller,Ross Geller,Monica Geller-Ross Geller,21,0.047619047619047616
1,2,3,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,21,0.047619047619047616
1,2,3,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,21,0.047619047619047616
1,2,3,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,21,0.047619047619047616
1,2,3,Rachel Green,#ALL#,Rachel Green-#ALL#,21,0.047619047619047616
1,2,3,Ross Geller,#ALL#,Ross Geller-#ALL#,21,0.047619047619047616
1,2,3,Rachel Green,Ross Geller,Rachel Green-Ross Geller,21,0.047619047619047616
1,2,4,Judy Geller,Monica Geller,Judy Geller-Monica Geller,3,0.3333333333333333
1,2,4,Judy Geller,Ross Geller,Judy Geller-Ross Geller,3,0.3333333333333333
1,2,4,Monica Geller,Ross Geller,Monica Geller-Ross Geller,3,0.3333333333333333
1,2,5,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,15,0.06666666666666667
1,2,5,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,15,0.06666666666666667
1,2,5,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,15,0.06666666666666667
1,2,5,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,15,0.06666666666666667
1,2,5,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,15,0.06666666666666667
1,2,5,Monica Geller,Ross Geller,Monica Geller-Ross Geller,15,0.06666666666666667
1,2,5,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,15,0.06666666666666667
1,2,5,Rachel Green,Ross Geller,Rachel Green-Ross Geller,15,0.06666666666666667
1,2,5,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,15,0.06666666666666667
1,2,5,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,15,0.06666666666666667
1,2,5,Rachel Green,Monica Geller,Rachel Green-Monica Geller,15,0.06666666666666667
1,2,5,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,15,0.06666666666666667
1,2,5,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,15,0.06666666666666667
1,2,5,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,15,0.06666666666666667
1,2,5,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,15,0.06666666666666667
1,2,6,Ross Geller,Susan Bunch,Ross Geller-Susan Bunch,3,0.3333333333333333
1,2,6,Carol Willick,Ross Geller,Carol Willick-Ross Geller,3,0.3333333333333333
1,2,6,Carol Willick,Susan Bunch,Carol Willick-Susan Bunch,3,0.3333333333333333
1,2,8,Carol Willick,Ross Geller,Carol Willick-Ross Geller,3,0.3333333333333333
1,2,8,Ross Geller,Susan Bunch,Ross Geller-Susan Bunch,3,0.3333333333333333
1,2,8,Carol Willick,Susan Bunch,Carol Willick-Susan Bunch,3,0.3333333333333333
1,2,10,Ross Geller,Susan Bunch,Ross Geller-Susan Bunch,6,0.16666666666666666
1,2,10,Carol Willick,Susan Bunch,Carol Willick-Susan Bunch,6,0.16666666666666666
1,2,10,Susan Bunch,#ALL#,Susan Bunch-#ALL#,6,0.16666666666666666
1,2,10,Carol Willick,Ross Geller,Carol Willick-Ross Geller,6,0.16666666666666666
1,2,10,Ross Geller,#ALL#,Ross Geller-#ALL#,6,0.16666666666666666
1,2,10,Carol Willick,#ALL#,Carol Willick-#ALL#,6,0.16666666666666666
1,2,11,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,15,0.06666666666666667
1,2,11,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,15,0.06666666666666667
1,2,11,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,15,0.06666666666666667
1,2,11,Monica Geller,Ross Geller,Monica Geller-Ross Geller,15,0.06666666666666667
1,2,11,Rachel Green,Ross Geller,Rachel Green-Ross Geller,15,0.06666666666666667
1,2,11,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,15,0.06666666666666667
